name,phone,principal_contact,url,street_address,accreditation_status
Progressive Medical Billing,+12107331802,"Ms. Leticia A. Cantu, Owner",https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942,6655 First Park Ten Blvd Ste 216,True
Momentum Billing,+18668756527,,https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754,13400 Sabre Springs Pkwy #150,False
Centerline Medical Billing,+18008285133,"Mr. Patrick Mahoney, Owner",https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438,Aliso Viejo,True
Compass Billing,+13037131300,"Ms. Ellen E. Stewart, Registered Agent",https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804,5350 DTC PKWY STE 304,False
Springs Medical Billing,+17194008222,"Mrs. Christina Boyce, Owner",https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54182,PO Box 64258,False
Veracity Medical Billing,+13175203555,"Sharon Gall, President",https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513,220 South Elm Street,False
Midwest Medical Billing,+16145771077,"Ms. Kelly Schaffer Rahe, President",https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119,6400 E Main St Ste 201,False
Matrix Medical Billing,+18888343477,"Mr. Christian Burris, Member",https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964,2135 E. University Drive #120,False
Medical Billing Partners,+14024135394,"Taylor Santos, Owner",https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239,Lincoln,False
Specialized Medical Billing,+16144618154,"Mrs. Adrianne H. Nittala, Co-Owner",https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304,330 E Wilson Bridge Rd Ste 100,True
Proclaims Medical Billing,+13862745712,"Michelle Cavanaugh, President",https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184,785 W Granada Blvd Ste 5,False
Blitz Medical Billing,+18553298220,"Ms. Lilian Garcia, CEO",https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873,1701 Legacy Dr Ste 1200,True
Medical Billing Center,+18646791600,"Ms. Nicole Kluckhohn, CEO",https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737,401 Brookfield Pkwy Ste 500A,False
PC Medical Billing LLC,+13605398487,"Mr. Patrick O'Neil, Managing Member",https://www.bbb.org/us/wa/tumwater/profile/medical-billing/pc-medical-billing-llc-1296-1000097169/addressId/641375,PO Box 14546,True
Specialty Billing Services,+19147717335,"Ms. Jeannine Raciti, President",https://www.bbb.org/us/ny/yorktown-heights/profile/medical-billing/specialty-billing-services-0121-106473,35 E Grassy Sprain Rd Ste 404,False
Orange County Medical Billing,+17148955614,"Ms. Tracy Ann Jonas, Owner",https://www.bbb.org/us/ca/westminster/profile/medical-billing/orange-county-medical-billing-1126-13172913,8311 Westminster Blvd Ste 340D,False
Diamond Medical Billing Services,+12537777762,"Sunni Hearin, Owner",https://www.bbb.org/us/wa/renton/profile/medical-billing/diamond-medical-billing-services-1296-22719855,13301 SE 79th Pl # A101,False
Doctors Billing Pros,+16192292124,"Mr. Lamont Wolfe, Owner",https://www.bbb.org/us/ca/san-diego/profile/medical-billing/doctors-billing-pros-1126-172001777,PO Box 152865,False
LPL Medical Billing Service,+13018318957,"Lachee Lewis, Owner",https://www.bbb.org/us/md/frederick/profile/medical-billing/lpl-medical-billing-service-0011-90205853,3606 John Simmons Ct,False
