Name,Phone,Address,URL,Accreditation Status,Principal Contact
"Progressive Medical Billing","+12107331802","6655 First Park Ten Blvd Ste 216","https://www.bbb.org/us/tx/san-antonio/profile/billing-services/progressive-medical-billing-0825-90020942","true","Ms. Leticia A. Cantu"
"Momentum Billing","+18668756527","13400 Sabre Springs Pkwy #150","https://www.bbb.org/us/ca/san-diego/profile/medical-billing/momentum-billing-1126-172017754","false",""
"Centerline Medical Billing","+18008285133","","https://www.bbb.org/us/ca/aliso-viejo/profile/medical-billing/centerline-medical-billing-1126-1000116438","true","Mr. Patrick Mahoney"
"Compass Billing","+13037131300","5350 Dtc Pkwy","https://www.bbb.org/us/co/greenwood-village/profile/medical-billing/compass-billing-1296-90146804","false","Ms. Ellen E. Stewart"
"Matrix Medical Billing","+18888343477","2135 E. University Drive #120","https://www.bbb.org/us/az/mesa/profile/billing-services/matrix-medical-billing-1126-97026964","false","Mr. Christian Burris"
"Medical Billing Partners","+14024135394","","https://www.bbb.org/us/ne/lincoln/profile/medical-billing/medical-billing-partners-0714-1000061239","false","Taylor Santos"
"Springs Medical Billing","+17194008222","Po Box 64258","https://www.bbb.org/us/co/colorado-springs/profile/medical-billing/springs-medical-billing-0785-1000007536/addressId/54148","false","Mrs. Christina Boyce"
"Veracity Medical Billing","+13175203555","220 South Elm Street","https://www.bbb.org/us/in/zionsville/profile/medical-billing/veracity-medical-billing-0382-90050513","false","Sharon Gall"
"Midwest Medical Billing","+16145771077","6400 E Main St Ste 201","https://www.bbb.org/us/oh/reynoldsburg/profile/medical-billing/midwest-medical-billing-0302-11006119","false","Ms. Kelly Schaffer Rahe"
"Specialized Medical Billing","+16144618154","330 E Wilson Bridge Rd Ste 100","https://www.bbb.org/us/oh/worthington/profile/medical-billing/specialized-medical-billing-0302-70095304","true","Mrs. Adrianne H. Nittala"
"Proclaims Medical Billing","+13862745712","785 W Granada Blvd Ste 5","https://www.bbb.org/us/fl/ormond-beach/profile/medical-billing/proclaims-medical-billing-0733-90136184","false","Michelle Cavanaugh"
"Blitz Medical Billing","+18553298220","1701 Legacy Dr Ste 1200","https://www.bbb.org/us/tx/frisco/profile/medical-billing/blitz-medical-billing-0875-91061873","true","Ms. Lilian Garcia"
"Medical Billing Center","+18646791600","401 Brookfield Pkwy Ste 500A","https://www.bbb.org/us/sc/greenville/profile/medical-billing/medical-billing-center-0673-90039737","false","Ms. Nicole Kluckhohn"
"PC Medical Billing LLC","+13605398487","","https://www.bbb.org/us/wa/olympia/profile/medical-billing/pc-medical-billing-llc-1296-1000097169","true","Mr. Patrick O'Neil"
